method,reference_method,gap_formula,num_snr_points,high_snr_points_used,mean_se,gap_to_rzf,gap_to_wmmse,gap_to_best_reference,gap_to_best_baseline,high_snr_mean_gap,inference_latency_ms,train_time,best_epoch,num_params,gap_10db,gap_15db,gap_20db
wmmse_iter_50,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.8539793363639285,0.11059839161867095,0.00012065805129456173,,,0.042367422863399666,,,,,0.04192610046358,0.0410297114798339,0.0441464566467851
wmmse,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.852258712053299,0.11046907198237176,0.0,0.0,0.0,0.04212078094371604,1118.4488259800128,,,,0.0419207288240512,0.0409959517367293,0.0434456622703676
wmmse_iter_20,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.84909725189209,0.11021071135261222,-0.0002393905331051589,,,0.04165963792075363,,,,,0.0419132387914688,0.0408397167737035,0.0422259581970886
wmmse_iter_10,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.8373227162020545,0.10900768668039594,-0.0013342996234395094,,,0.03986019163019106,,,,,0.0418096645025264,0.0394850536643167,0.0382858567237301
unfolded_wmmse_lite,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.816345597926779,0.105662348154284,-0.004282004575569526,-0.004282004575569486,-0.004282004575569486,0.03652932091372347,80.74030180112459,58.54206039899145,3.0,,0.0411168248699171,0.0360149131883643,0.032456224682889
wmmse_iter_5,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.815496031727109,0.10560568484538424,-0.004336292803523867,,,0.03639835570092383,182.19236940873088,,,,0.0411078711466241,0.0359321612064484,0.032155034749699
wmmse_iter_2,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.76919781097344,0.09281205947595907,-0.015291069807427489,,,0.029180240138575064,74.77179157140199,,,,0.0381235849323544,0.0282451104353844,0.0211720250479864
wmmse_iter_1,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.692526061620031,0.07273902466780989,-0.032502004218625376,,,0.0176085158107851,37.37573914928362,,,,0.0341620386083186,0.0179122359496649,0.0007512728743718
unfolded_rzf,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.585841789138732,0.0008162935853725662,-0.09374829742137848,-0.010657218889035385,-0.009996989305813771,0.0015405356941837667,3.5617221498978324,4.699407568987226,7.0,,0.0008470513514256,0.0015227183690867,0.002251837362039
residual_rzf,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.577072397576357,-5.632875938515068e-07,-0.09452188690891682,-0.011469625986952715,-0.010810550937687567,1.3873005385129264e-06,1.602837020473089,3.6879655800003093,4.0,,-1.1648459763328568e-06,1.7987838643796924e-06,3.5279637274919438e-06
residual_wmmse,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.577067761773646,4.7601807616295046e-07,-0.09452094725815581,-0.09452094725815578,-0.09452094725815578,5.747577802327931e-07,,738.7889860930154,7.0,,7.684578883199553e-07,7.40342760963444e-07,2.1547269141497987e-07
rzf,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.577064859015601,0.0,-0.0945213916379372,-0.09452139163793716,-0.09452139163793716,0.0,0.5277231996296905,,,,0.0,0.0,0.0
zf,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.161986320146492,-0.2188752412012029,-0.28401014717762185,-0.2840101471776219,-0.2840101471776219,-0.05771776984200027,,,,,-0.1082775754628348,-0.0459699157100409,-0.0189058183531251
mrt,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.053083236728396,-0.027087849032950886,-0.12138437919207168,-0.12138437919207165,-0.12138437919207165,-0.08899108954765979,0.2370850194711238,,,,-0.0120093971915858,-0.0937855064893063,-0.1611783649620873
cnn,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",5.052356555847255,-0.02720298385239367,-0.1214871230418338,-0.038253608666310786,-0.03825295316645287,-0.08909230927044763,1.803608062036801,,,,-0.01205042673623,-0.0937985830480278,-0.1614279180270851
dft,rzf,(method_se - reference_se) / reference_se,7,"10,15,20",3.637655413576535,-0.2740395859856089,-0.34585788686450697,-0.3458578868645069,-0.3458578868645069,-0.3468560772984297,,,,,-0.2794282245309007,-0.3550532267220588,-0.4060867806423296
