seed,snr_db,sionna_rzf_available,sionna_rzf_callable,converted_to_precoder_output,native_receiver_success_project,native_receiver_success_sionna,semantic_compatibility_passed,strict_equivalence_claim_allowed,relationship_status,power_norm_project,power_norm_sionna,power_norm_gap,max_abs_diff_f_f_if_comparable,project_sum_rate,sionna_sum_rate,abs_diff_sum_rate,project_symbol_mse,sionna_symbol_mse,abs_diff_symbol_mse,project_sinr_db,sionna_sinr_db,abs_diff_sinr_db,difference_primary_axis
1,0.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0000001192092896,1.1920928955078125e-07,0.026357974857091904,7.021806716918945,7.011808395385742,0.009998321533203125,0.4208186864852905,0.42185625433921814,0.0010375678539276123,3.7590494751930237,3.748354911804199,0.010694563388824463,f_f_elements
1,5.0,True,True,True,True,True,True,False,close_but_different,0.9999999403953552,1.0,5.960464477539063e-08,0.06441184133291245,12.104864120483398,11.717413902282715,0.3874502182006836,0.13992467522621155,0.15111014246940613,0.01118546724319458,8.541056513786316,8.207063674926758,0.3339928388595581,sum_rate
1,10.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0,0.0,0.06103915348649025,18.437744140625,18.439186096191406,0.00144195556640625,0.042715687304735184,0.04270455986261368,1.1127442121505737e-05,13.694125413894653,13.695257902145386,0.0011324882507324219,f_f_elements
1,15.0,True,True,True,True,True,True,False,close_but_different,1.0000001192092896,1.0,1.1920928955078125e-07,0.03644421696662903,24.808250427246094,24.72773551940918,0.08051490783691406,0.01376995537430048,0.013966124504804611,0.00019616913050413132,18.610674142837524,18.549240827560425,0.06143331527709961,sum_rate
1,20.0,True,True,True,True,True,True,False,close_but_different,0.9999999403953552,1.0000001192092896,1.7881393432617188e-07,0.08603362739086151,30.538532257080078,30.50943374633789,0.0290985107421875,0.005057516973465681,0.0050832126289606094,2.569565549492836e-05,22.96062707901001,22.938616275787354,0.02201080322265625,f_f_elements
2,0.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0,0.0,0.038080502301454544,5.639956474304199,4.821251392364502,0.8187050819396973,0.6033722162246704,0.7657713890075684,0.16239917278289795,2.194146513938904,1.1590079963207245,1.0351385176181793,sinr_db
2,5.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0000001192092896,1.1920928955078125e-07,0.03011297434568405,12.426420211791992,12.517355918884277,0.09093570709228516,0.13134506344795227,0.1290266066789627,0.002318456768989563,8.815862536430359,8.893207311630249,0.07734477519989014,sum_rate
2,10.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0,0.0,0.09645075350999832,19.035968780517578,18.836572647094727,0.19939613342285156,0.03834807127714157,0.039749857038259506,0.0014017857611179352,14.162564277648926,14.006644487380981,0.15591979026794434,sum_rate
2,15.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0,0.0,0.05592751130461693,24.54199981689453,24.594661712646484,0.052661895751953125,0.014429531991481781,0.014296585693955421,0.00013294629752635956,18.407477140426636,18.44767689704895,0.04019975662231445,f_f_elements
2,20.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0,0.0,0.05014577507972717,31.948671340942383,31.9212646484375,0.027406692504882812,0.003956742584705353,0.003975653555244207,1.89109705388546e-05,24.026620388031006,24.005913734436035,0.020706653594970703,f_f_elements
3,0.0,True,True,True,True,True,True,False,close_but_different,0.9999999403953552,1.0,5.960464477539063e-08,0.014475838281214237,5.81244421005249,5.7574615478515625,0.054982662200927734,0.5753810405731201,0.5841068029403687,0.008725762367248535,2.4004440009593964,2.335076928138733,0.06536707282066345,sinr_db
3,5.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0,0.0,0.031873393803834915,12.082255363464355,12.09703540802002,0.014780044555664062,0.14055116474628448,0.14014126360416412,0.00040990114212036133,8.521655201911926,8.534339666366577,0.012684464454650879,f_f_elements
3,10.0,True,True,True,True,True,True,False,close_but_different,0.9999998807907104,1.0,1.1920928955078125e-07,0.055084262043237686,18.629804611206055,18.694467544555664,0.06466293334960938,0.04125974327325821,0.040781259536743164,0.00047848373651504517,13.84473443031311,13.89539361000061,0.0506591796875,sum_rate
3,15.0,True,True,True,True,True,True,False,close_but_different,0.9999999403953552,1.0,5.960464477539063e-08,0.0432560108602047,24.822256088256836,24.800779342651367,0.02147674560546875,0.013736115768551826,0.013788039796054363,5.1924027502536774e-05,18.621360063552856,18.6049747467041,0.016385316848754883,f_f_elements
3,20.0,True,True,True,True,True,True,False,close_but_different,1.0,1.0,0.0,0.07029936462640762,30.288372039794922,30.419979095458984,0.1316070556640625,0.005282762926071882,0.005163033492863178,0.000119729433208704,22.771389484405518,22.87095069885254,0.09956121444702148,sum_rate
