seed,snr_db,power_norm_project,power_norm_sionna,power_norm_gap
1,0.0,1.0,1.0000001192092896,1.1920928955078125e-07
1,5.0,0.9999999403953552,1.0,5.960464477539063e-08
1,10.0,1.0,1.0,0.0
1,15.0,1.0000001192092896,1.0,1.1920928955078125e-07
1,20.0,0.9999999403953552,1.0000001192092896,1.7881393432617188e-07
2,0.0,1.0,1.0,0.0
2,5.0,1.0,1.0000001192092896,1.1920928955078125e-07
2,10.0,1.0,1.0,0.0
2,15.0,1.0,1.0,0.0
2,20.0,1.0,1.0,0.0
3,0.0,0.9999999403953552,1.0,5.960464477539063e-08
3,5.0,1.0,1.0,0.0
3,10.0,0.9999998807907104,1.0,1.1920928955078125e-07
3,15.0,0.9999999403953552,1.0,5.960464477539063e-08
3,20.0,1.0,1.0,0.0
